server,rtt_min,rtt_max,rtt_avg,avg_pkt_loss,num_hops,distinct_domains
www.unimelb.edu.au,12.595,158.404,30.696,0.0,6,5
www.mtu.edu,13.339,103.998,30.237,0.0,12,9
www.utah.edu,52.795,221.702,82.822,0.0,46,12
www.polytech-lille.fr,102.332,197.975,125.355,0.0,15,9
www.wisc.edu,12.144,103.597,29.693,0.0,27,9
www.cam.ac.uk,99.159,202.601,123.400,0.0,65,9
www.tuj.ac.jp,25.843,123.761,48.800,0.0,70,8
www.iisc.ac.in,226.123,532.502,295.573,0.0,76,5
www.umn.edu,19.745,108.825,38.591,0.0,68,6
www.unl.edu,25.301,118.638,46.406,0.0,71,5
www.iastate.edu,13.427,101.848,29.627,0.0,66,5
www.aur.edu,12.582,103.255,30.945,0.0,65,3
www.cu.edu,13.009,107.550,30.306,0.0,65,3
